kanji_strokes,How many strokes in the kanji for:,"Draw the figure in your mind, then type the number of strokes to help you remember:",,,,
divide,10,剖,",divide,muzzle,vase,stand up,mouth,sword,sabre,saber,",ボウ,,"To DIVIDE and conquer, all you need is a 'saber' and a 'muzzle'."
sound,9,音,",sound,vase,stand up,sun,day,tongue wagging,",オン　　イン,おと　　ね,The kanji for SOUND depicts something 'standing' over a 'tongue wagging in a mouth'.
darkness,13,暗,",darkness,sun,day,sound,vase,stand up,sun,day,sun2,day2,",アン,くら・い,"When DARKNESS covered the earth long ago, there was neither 'sun' nor 'sound'."
rhyme,19,韻,",rhyme,sound,vase,stand up,sun,day,employee,mouth,shellfish,clam,oyster,eye,animal legs,eight,",イン,,"A RHYME could be called a 'sound' 'employee' - used not merely for its meaning, but its aural qualities too."
discriminating,19,識,",discriminating,say,words,keitai,mouth,kazoo,sound,vase,stand up,sun,day,fiesta,",シキ,,A person of DISCRIMINATING intellect can tell between mere 'kazoo' buzzing (aka the 'sound' of a 'fiesta') and 'words' spoken wisely.
mirror,19,鏡,",mirror,metal,gold,mirror,vase,stand up,sun,day,human legs,",キョウ,かがみ,"Polished 'metal' was once used for MIRRORS, which one 'stands up' on one's 'human legs' in front of, your 'tongue wagging in the mouth' as you ask who is the fairest of them all."
boundary,14,境,",boundary,soil,dirt,ground,mirror,vase,stand up,sun,day,human legs,",キョウ　　ケイr,さかい,The BOUNDARY of the paranoid farmer's 'land' is marked out with 'mirrors' to help him spot trespassers.
deceased,3,亡,",deceased,perish,top hat,fishhook,",ボウ　　モウr,な・い,"A 'top hat' left on its 'hook' suggests a man who is recently DECEASED - that is to say, a person who has *perished."
blind,8,盲,",blind,deceased,perish,top hat,fishhook,eye,",モウ,,Deceased' 'eyes' make you BLIND.
delusion,6,妄,",delusion,deceased,perish,top hat,fishhook,woman,",モウ　　ボウ,,The ideal 'woman' is no more than a DELUSION; hence 'perish' the thought of her.
laid waste,9,荒,",laid waste,wreath,flowers,deceased,perish,top hat,fishhook,stream,flood,",コウ,あら・い　　あ・らす　　あ・れる,The 'flowers' that 'perish' in the 'flood' symbolise a region LAID WASTE to.
ambition,11,望,",ambition,deceased,perish,top hat,fishhook,moon,month,flesh,part of the body,king,jewel,ball,",ボウ　　モウ,のぞ・む,"AMBITION is the picture of a 'king' walking under a 'perishing' (waning) 'moon', coming up with plans for the future."
direction,4,方,",direction,compass,direction,",ホウ,かた,"Spin a 'dagger' atop a 'top hat' to indicate a randomised DIRECTION, like a *compass."
disturb,7,妨,",disturb,compass,direction,woman,",ボウ,さまた・げる,A society under a 'woman's' 'direction' would DISTURB the patriarchal status quo.
boy,7,坊,",boy,soil,dirt,ground,compass,direction,",ボウ　 ボッr,,"The character for BOY shows a BOY scout cleaning 'dirt' out of his 'compass'; or alternatively, a BOY heading out in the 'direction' of 'dirt' as they are wont to."
perfumed,7,芳,",perfume,flowers,compass,direction,",ホウ,かんば・しい,Something that is PERFUMED uses the scent of 'flowers' to 'direct' the attention of passersby.
obese,8,肪,",obese,moon,month,flesh,part of the body,compass,direction,",ボウ,,Someone who is OBESE might acquire so much 'flesh' that a 'compass' would be needed to navigate them.
call on,11,訪,",call on,say,words,keitai,mouth,compass,direction,",ホウ,おとず・れる　　たず・ねる,"When you CALL ON someone important, you must use 'compass' 'words' that are meticulously 'directed'."
set free,8,放,",set free,compass,direction,taskmaster,",ホウ,はな・す　　はな・つ　　はな・れる　　ほう・る ,The 'taskmaster' takes only a quick glance at their 'compass' before choosing a 'direction' to boot their recently SET FREE slave towards.
violent,16,激,",violent,water,water droplets,water pistol,white,dove,compass,direction,taskmaster,",ゲキ,はげ・しい,"Some VIOLENT 'taskmaster' is responsible for the tragedy depicted here: 'white' 'water' foaming around a broken 'compass'. Or perhaps the 'taskmaster' belongs to the stricken vessel itself, having met a VIOLENT end."
undress,11,脱,",undress,moon,month,flesh,part of the body,devil,horns,elder brother,teenager,mouth,human legs,",ダツ,ぬ・ぐ　　ぬ・げる,To UNDRESS is to expose the 'flesh' and tempt the 'devil' (the 'horny' 'teenager').
explanation,14,説,",explanation,animal tracks,drop,rice,shaku-hachi,flag,stick,elder brother,mouth,word,",セツ　　ゼイr,と・く,"To the ignorant and superstitious, a perfectly good EXPLANATION can be dismissed as 'devil's' 'words'."
pointed,15,鋭,",pointed,metal,gold,devil,horns,elder brother,teenager,mouth,human legs,",エイ,するど・い,"To the Amish, any 'metal' that has been POINTED belongs as much to the 'devil' as man."
formerly,11,曽,",formerly,increase,horns,rice field,brains,sun,day,",ソウ　　ゾr,,A person who was FORMERLY Prime Minister may use their 'horned' 'brain' and 'tongue-wagging mouth' to sow all sorts of political discord. Has the primitive meaning of *increase (derived from the kanji for 'increase').
increase,14,増,",increase,soil,dirt,ground,increase,formerly,horns,rice field,brains,sun,day,",ゾウ,ふ・える　　ふ・やす　　ま・す,This kanji depicts how land that was 'formerly' worthless 'dirt' can rapidly INCREASE in value (the Znapfians were famed property speculators).
presents,18,贈,",presents,shellfish,clam,oyster,eye,animal legs,eight,increase,formerly,horns,rice field,brains,sun,day,",ゾウ　　ソウr,おく・る,"Imagine, instead of the usual PRESENTS, you are gifted a mere, miserly dollar bill (a 'shell') - which soon magically 'increases' in value through shifting exchange rates."
east,8,東,",east,sun,day,tree,wood,",トウ,ひがし,The EAST is a picture of the 'sun' rising through the 'trees'.
ridgepole,12,棟,",ridgepole,tree,wood,east,tree,wood,sun,day,tree2,wood2,",トウ,むね　　むなr,A house's RIDGEPOLE is carved from a single 'tree' and oriented toward the 'east' to maximise sunlight throughout the day.
frozen,10,凍,",frozen,ice,east,tree,wood,sun,day,",トウ,こお・る　　こご・える,"In the land of Znap, the FROZEN land to the 'east' was known as the 'icy' 'east'."
pregnancy,7,妊,",pregnancy,woman,porter,drop,samurai,",ニン,,A PREGNANT 'woman' is like a 'porter' for her child (and 'porter' reminds us of the mere 'drop' of weight carried by the 'samurai' compared to their servant).
courts,7,廷,",courts,porter,drop,samurai,stretch,",テイ,,The 'porters' of justice that run our COURTS too often 'stretch' the law to suit their purposes.
dye,9,染,",dye,water,water droplets,water pistol,nine,baseball,tree,wood,",セン,そ・まる　　そ・める　　し・み　　し・みる,"A DYE is the 'water' of 'nine' 'trees' - the colourful essence of a variety of plants, one for each colour plus black and white."
burn,16,燃,",burn,fire,sort of thing,moon,crescent moon,month,flesh,part of the body,chihuahua,dog,large,drop,oven-fire,barbecue,fire2,",ネン,も・える　　も・やす　　も・す,A BURN is the 'sort of thing' you might get if you stray too close to the 'hearth'.
V.I.P.,15,賓,",V.I.P.,house,one,ceiling,few,shellfish,clam,oyster,eye,animal legs,eight,",ヒン,,"In the land of Znap, on the occasion of a visit by a VIP to one's 'house', someone must be sent to the 'ceiling' to get a 'few' 'shells' to offer up (naturally such visits are most unwelcome!)"
year-end,13,歳,",year end,stop,footprint,one,little,small,march,",サイ　　セイr,,"The traditional YEAR-END 'march' of the 'little' ones (chiefly children and dwarfs) is a chance to 'stop' and reflect on the 'little' things that make the 'march' of time bearable. (Alas the march was recently 'stopped' because it was condescending to dwarfs - and children, for that matter)."
prefecture,9,県,",prefecture,eye,fishhook,small,little,",ケン,,The feared police PREFECTURES of Znap are known for applying tiny 'little' 'fishhooks' to suspects' 'eyes' to extract an admission of guilt.
horse chestnut,9,栃,",horse chestnut,tree,wood,Wimbledon,cliff,ten thousand,one,bound up,",,とち,The best environment for growing HORSE CHESTNUTS is in heavily wooded 'cliff' sides bedecked with 'ten thousand' 'trees' (remember 'ten thousand' is Japanese for any arbitrarily huge number).
ground,6,地,",ground,soil,dirt,ground,scorpion,",チ　　ジ,,"In Znapfian mythology, the first GROUND was the 'soil' on the back of an enormous 'scorpion' flying through space."
pond,6,池,",pond,water,water droplets,water pistol,scorpion,",チ,いけ,"In honour of Aesop's legend, the POND is named the 'water' of the 'scorpion' (the ill-fated frog is nowhere to be seen)."
insect,6,虫,",insect,in,stick,mouth,",チュウ,むし,"This pictograph depicts an INSECT, wings a-flutter, perched on a little branch."
lightning bug,11,蛍,",lightning-bug,schoolhouse,owl,crown,insect,",ケイ,ほたる,"This 'schoolhouse' is so poor it is lit by captured 'insects' - LIGHTNING BUGS, to be exact."
snake,11,蛇,",snake,insect,wind chimes,house,spoon,sitting on the ground,",ジャ　　ダ,へび,"The kanji for SNAKE tells the story of an 'insect' which approached a 'house', luring an innocent SNAKE inside who was then beaten to death with a 'spoon'."
rainbow,9,虹,",rainbow,insect,craft,",,にじ,Znapfians believed that RAINBOWS were 'crafted' by 'insects' shuttling back and forth in the sky after rain.
butterfly,15,蝶,",butterfly,insect,Tarzan,generation,tree,wood,",チョウ,,"Before caterpillars were discovered, Znapfians saw BUTTERFLY cocoons and assumed it was an 'insect' that spontaneously 'generated' from a 'tree'."
single,9,独,",single,pack of wild dogs,insect,",ドク,ひと・り,To be a SINGLE man is to live in the company of 'wild dogs' and 'insects'.
silkworm,10,蚕,",silkworm,heavens,insect,",サン,かいこ,The SILKWORM is so prized that its kanji describes 'heaven' opening up to release the priceless 'insect'.
wind,9,風,",wind,gnats,drop,insect,",フウ　　フr,かぜ　　かざr,"The kanji from which WIND derives represents a horde of 'insects' like 'drops' in the 'wind' - a plague of locusts, the most terrifying wind there is!"
self,3,己,",self,snake,self,",コ　　キ,おのれ,"The pictograph for *snake is the kanji for SELF, imagined as a serpentine creature coiling up inside you."
rouse,10,起,",rouse,run,soil,dirt,ground,mend,snake,self,",キ,お・きる　　お・こす　　お・こる,"A boy was once so eager to ROUSE his parents on Christmas that he cried 'run' - 'snake', which got them out of bed in a hurry."
queen,6,妃,",queen,woman,snake,self,",ヒ,,The misogynist Znapfians had a word for QUEENS - 'woman' 'snakes'.
reformation,7,改,",reformation,snake,self,taskmaster,",カイ,あらた・まる　　あらた・める,"The goal of the REFORMATION was to drive the 'snakes' from the Church, with Martin Luther as the 'taskmaster'."
scribe,10,記,",scribe,say,words,keitai,mouth,snake,self,",キ,しる・す,"Overworked SCRIBES tend to put down their 'words' so sloppily that they curl all over the place like 'snakes', hence the moniker, 'word' 'snakes'."
wrap,5,包,",wrap,bound up,snake,self,",ホウ,つつ・む,"The correct way to 'bind up' a 'snake' is to tightly WRAP it in linen. For the primitive, picture something which has a *snake coiled around it."
placenta,9,胞,",placenta,moon,month,flesh,part of the body,wrap,bound up,snake,self,",ホウ,,Ancient midwives thought the PLACENTA was a 'blanket' used to 'wrap' the baby's 'flesh'.
cannon,10,砲,",cannon,stone,rock,wrap,bound up,snake,self,",ホウ,,The barrel of a CANNON 'wraps' around the 'stones' that are its ammunition.
bubble,8,泡,",bubbles,water,water droplets,water pistol,wrap,bound up,snake,self,",ホウ,あわ,Legend tells of a drowning kid who was spared from the 'water' when he was magically 'wrapped' in a great BUBBLE.
tortoise,11,亀,",tortoise,bound up,eels,sun,day,",キ,かめ,"In Znapfian myth, a great TORTOISE was said to have once 'bound up' the 'two suns' beneath its shell - and only one of those suns was ever liberated. Try to picture the 'tail' threading through the 'suns' to keep them tied down. * Bottom half only signifies an 'eel'; with both 'suns', picture a * bucket of eels."
electricity,13,電,",electricity,rain,weather,eel,sun,day,",デン,,"The first observation of ELECTRICITY involved 'eels' in the 'rain', sizzling and crackling inadvertently to the wonder of early philosophers."
dragon,10,竜,",dragon,vase,stand up,eel,sun,day,",リュウ,たつ,Superstitious Znapfians kept pickled 'eels' in translucent 'vases' and boasted that they were DRAGONS - hence the name 'vase' 'eel'.
waterfall,13,滝,",waterfall,water,water droplets,water pistol,dragon,vase,stand up,eel,sun,day,",,たき,"The first WATERFALL was unleashed when a clumsy 'eel', unaware of its cumbersome length, disturbed an enormous 'vase' of 'water' (which had been set aside to water a god's hydrangeas)."
pork,11,豚,",pork,moon,month,flesh,part of the body,sow,pig,",トン,ぶた,PORK is of course 'flesh' of the 'sow'.
pursue,10,逐,",pursue,sow,pig,road,",チク,,The police ('sows') hit the 'road' to PURSUE a perp (maybe that poor escaping turtle from before!)
consummate,11,遂,",consummate,horns,sow,pig,road,",スイ,と・げる,"Just picture a 'horned' 'sow' (a boar) hitting the 'road' on honeymoon, eager to CONSUMMATE a piggy marriage."
house,10,家,",house,sow,pig,",カ　　ケ,いえ　　や,The kanji for HOUSE defines a 'house' as the place you keep your 'sow'.
marry into,13,嫁,",marry into,woman,house,sow,pig,",カ,よめ　　とつ・ぐ,"In Japan, a 'woman' leaves her own home to MARRY INTO her husband's 'house'."
overpowering,14,豪,",overpowering,tall,top hat,mouth,crown,sow,pig,",ゴウ,,"Think of the OVERPOWERING odour of the 'tall' 'crowned' 'sow', sovereign of all the piggy peoples."
intestines,13,腸,",intestines,moon,month,flesh,part of the body,piggy bank,sun,day,piglets,",チョウ,,One Znapfian custom involved swallowing coins to feed the 'flesh' 'piggy bank' that was imagined to be your INTESTINES.
location,12,場,",location,soil,dirt,ground,piggy bank,sun,day,piglets,",ジョウ,ば,The LOCATION of buried valuables is the 'soil' 'piggy bank'.
hot water,12,湯,",hot water,water,water droplets,water pistol,piggy bank,sun,day,piglets,",トウ,ゆ,The avaricious Znapfians attended carefully to their 'piggy banks' - the 'water' provided to bathe the 'piggy bank' was often the only HOT WATER the family cared to boil!
